DateG,DateH,fajr1,fajr2,sunrise,dhuhr1,dhuhr2,asr1,asr2,maghreb1,maghreb2,isha1,isha2
"October 31, 2024","Rabi Al-Akhar 28, 1446",6:29 AM,6:35 AM,7:56 AM,12:55 PM,1:45 PM,3:25 PM,4:00 PM,5:52 PM,5:57 PM,7:21 PM,8:00 PM
"November 1, 2024","Rabi Al-Akhar 29, 1446",6:31 AM,6:45 AM,7:58 AM,12:55 PM,1:45 PM,3:23 PM,4:00 PM,5:51 PM,5:56 PM,7:20 PM,8:00 PM
"November 2, 2024","Rabi Al-Akhar 30, 1446",6:32 AM,6:45 AM,8:00 AM,12:55 PM,1:45 PM,3:22 PM,4:00 PM,5:49 PM,5:54 PM,7:18 PM,8:00 PM
"November 3, 2024","Jumada Al-Awwal 1, 1446",5:35 AM,5:45 AM,7:03 AM,11:55 AM,12:45 PM,2:20 PM,3:00 PM,4:46 PM,4:51 PM,6:15 PM,7:30 PM
"November 4, 2024","Jumada Al-Awwal 2, 1446",5:36 AM,5:45 AM,7:05 AM,11:55 AM,12:45 PM,2:18 PM,3:00 PM,4:44 PM,4:49 PM,6:14 PM,7:30 PM
"November 5, 2024","Jumada Al-Awwal 3, 1446",5:38 AM,5:45 AM,7:06 AM,11:55 AM,12:45 PM,2:17 PM,3:00 PM,4:43 PM,4:48 PM,6:13 PM,7:30 PM
"November 6, 2024","Jumada Al-Awwal 4, 1446",5:39 AM,5:45 AM,7:08 AM,11:55 AM,12:45 PM,2:16 PM,3:00 PM,4:41 PM,4:46 PM,6:11 PM,7:30 PM
"November 7, 2024","Jumada Al-Awwal 5, 1446",5:40 AM,5:45 AM,7:09 AM,11:55 AM,12:45 PM,2:15 PM,3:00 PM,4:40 PM,4:45 PM,6:10 PM,7:30 PM
"November 8, 2024","Jumada Al-Awwal 6, 1446",5:42 AM,6:00 AM,7:11 AM,11:55 AM,12:45 PM,2:14 PM,3:00 PM,4:38 PM,4:43 PM,6:09 PM,7:30 PM
"November 9, 2024","Jumada Al-Awwal 7, 1446",5:43 AM,6:00 AM,7:13 AM,11:55 AM,12:45 PM,2:13 PM,3:00 PM,4:37 PM,4:42 PM,6:08 PM,7:30 PM
"November 10, 2024","Jumada Al-Awwal 8, 1446",5:45 AM,6:00 AM,7:14 AM,11:56 AM,12:45 PM,2:11 PM,3:00 PM,4:35 PM,4:40 PM,6:07 PM,7:30 PM
"November 11, 2024","Jumada Al-Awwal 9, 1446",5:46 AM,6:00 AM,7:16 AM,11:56 AM,12:45 PM,2:10 PM,3:00 PM,4:34 PM,4:39 PM,6:05 PM,7:30 PM
"November 12, 2024","Jumada Al-Awwal 10, 1446",5:47 AM,6:00 AM,7:17 AM,11:56 AM,12:45 PM,2:09 PM,3:00 PM,4:33 PM,4:38 PM,6:04 PM,7:30 PM
"November 13, 2024","Jumada Al-Awwal 11, 1446",5:49 AM,6:00 AM,7:19 AM,11:56 AM,12:45 PM,2:08 PM,3:00 PM,4:31 PM,4:36 PM,6:03 PM,7:30 PM
"November 14, 2024","Jumada Al-Awwal 12, 1446",5:50 AM,6:00 AM,7:21 AM,11:56 AM,12:45 PM,2:07 PM,3:00 PM,4:30 PM,4:35 PM,6:02 PM,7:30 PM
"November 15, 2024","Jumada Al-Awwal 13, 1446",5:51 AM,6:10 AM,7:22 AM,11:56 AM,12:45 PM,2:06 PM,2:30 PM,4:29 PM,4:34 PM,6:01 PM,7:30 PM
"November 16, 2024","Jumada Al-Awwal 14, 1446",5:53 AM,6:10 AM,7:24 AM,11:56 AM,12:45 PM,2:06 PM,2:30 PM,4:28 PM,4:33 PM,6:00 PM,7:30 PM
"November 17, 2024","Jumada Al-Awwal 15, 1446",5:54 AM,6:10 AM,7:25 AM,11:57 AM,12:45 PM,2:05 PM,2:30 PM,4:27 PM,4:32 PM,5:59 PM,7:30 PM
"November 18, 2024","Jumada Al-Awwal 16, 1446",5:55 AM,6:10 AM,7:27 AM,11:57 AM,12:45 PM,2:04 PM,2:30 PM,4:26 PM,4:31 PM,5:59 PM,7:30 PM
"November 19, 2024","Jumada Al-Awwal 17, 1446",5:56 AM,6:10 AM,7:28 AM,11:57 AM,12:45 PM,2:03 PM,2:30 PM,4:25 PM,4:30 PM,5:58 PM,7:30 PM
"November 20, 2024","Jumada Al-Awwal 18, 1446",5:58 AM,6:10 AM,7:30 AM,11:57 AM,12:45 PM,2:02 PM,2:30 PM,4:23 PM,4:28 PM,5:57 PM,7:30 PM
"November 21, 2024","Jumada Al-Awwal 19, 1446",5:59 AM,6:10 AM,7:31 AM,11:58 AM,12:45 PM,2:02 PM,2:30 PM,4:23 PM,4:28 PM,5:56 PM,7:30 PM
"November 22, 2024","Jumada Al-Awwal 20, 1446",6:00 AM,6:15 AM,7:33 AM,11:58 AM,12:45 PM,2:01 PM,2:30 PM,4:22 PM,4:27 PM,5:56 PM,7:30 PM
"November 23, 2024","Jumada Al-Awwal 21, 1446",6:01 AM,6:15 AM,7:34 AM,11:58 AM,12:45 PM,2:00 PM,2:30 PM,4:21 PM,4:26 PM,5:55 PM,7:30 PM
"November 24, 2024","Jumada Al-Awwal 22, 1446",6:03 AM,6:15 AM,7:36 AM,11:58 AM,12:45 PM,2:00 PM,2:30 PM,4:20 PM,4:25 PM,5:54 PM,7:30 PM
"November 25, 2024","Jumada Al-Awwal 23, 1446",6:04 AM,6:15 AM,7:37 AM,11:59 AM,12:45 PM,1:59 PM,2:30 PM,4:19 PM,4:24 PM,5:54 PM,7:30 PM
"November 26, 2024","Jumada Al-Awwal 24, 1446",6:05 AM,6:15 AM,7:39 AM,11:59 AM,12:45 PM,1:59 PM,2:30 PM,4:18 PM,4:23 PM,5:53 PM,7:30 PM
"November 27, 2024","Jumada Al-Awwal 25, 1446",6:06 AM,6:15 AM,7:40 AM,11:59 AM,12:45 PM,1:58 PM,2:30 PM,4:18 PM,4:23 PM,5:53 PM,7:30 PM
"November 28, 2024","Jumada Al-Awwal 26, 1446",6:07 AM,6:15 AM,7:41 AM,12:00 PM,12:45 PM,1:58 PM,2:30 PM,4:17 PM,4:22 PM,5:52 PM,7:30 PM
"November 29, 2024","Jumada Al-Awwal 27, 1446",6:08 AM,6:20 AM,7:43 AM,12:00 PM,12:45 PM,1:57 PM,2:30 PM,4:16 PM,4:21 PM,5:52 PM,7:30 PM
"November 30, 2024","Jumada Al-Awwal 28, 1446",6:10 AM,6:20 AM,7:44 AM,12:01 PM,12:45 PM,1:57 PM,2:30 PM,4:16 PM,4:21 PM,5:52 PM,7:30 PM
"December 1, 2024","Jumada Al-Awwal 29, 1446",6:11 AM,6:20 AM,7:45 AM,12:01 PM,12:45 PM,1:57 PM,2:30 PM,4:15 PM,4:20 PM,5:51 PM,7:30 PM
"December 2, 2024","Jumada Al-Akhirah 1, 1446",6:12 AM,6:20 AM,7:47 AM,12:01 PM,12:45 PM,1:56 PM,2:30 PM,4:15 PM,4:20 PM,5:51 PM,7:30 PM
"December 3, 2024","Jumada Al-Akhirah 2, 1446",6:13 AM,6:20 AM,7:48 AM,12:02 PM,12:45 PM,1:56 PM,2:30 PM,4:14 PM,4:19 PM,5:51 PM,7:30 PM
"December 4, 2024","Jumada Al-Akhirah 3, 1446",6:14 AM,6:20 AM,7:49 AM,12:02 PM,12:45 PM,1:56 PM,2:30 PM,4:14 PM,4:19 PM,5:51 PM,7:30 PM
"December 5, 2024","Jumada Al-Akhirah 4, 1446",6:15 AM,6:20 AM,7:50 AM,12:03 PM,12:45 PM,1:56 PM,2:30 PM,4:14 PM,4:19 PM,5:50 PM,7:30 PM
"December 6, 2024","Jumada Al-Akhirah 5, 1446",6:16 AM,6:30 AM,7:51 AM,12:03 PM,12:45 PM,1:56 PM,2:30 PM,4:13 PM,4:18 PM,5:50 PM,7:30 PM
"December 7, 2024","Jumada Al-Akhirah 6, 1446",6:17 AM,6:30 AM,7:52 AM,12:03 PM,12:45 PM,1:55 PM,2:30 PM,4:13 PM,4:18 PM,5:50 PM,7:30 PM
"December 8, 2024","Jumada Al-Akhirah 7, 1446",6:17 AM,6:30 AM,7:53 AM,12:04 PM,12:45 PM,1:55 PM,2:30 PM,4:13 PM,4:18 PM,5:50 PM,7:30 PM
"December 9, 2024","Jumada Al-Akhirah 8, 1446",6:18 AM,6:30 AM,7:54 AM,12:04 PM,12:45 PM,1:55 PM,2:30 PM,4:13 PM,4:18 PM,5:50 PM,7:30 PM
"December 10, 2024","Jumada Al-Akhirah 9, 1446",6:19 AM,6:30 AM,7:55 AM,12:05 PM,12:45 PM,1:56 PM,2:30 PM,4:13 PM,4:18 PM,5:50 PM,7:30 PM
"December 11, 2024","Jumada Al-Akhirah 10, 1446",6:20 AM,6:30 AM,7:56 AM,12:05 PM,12:45 PM,1:56 PM,2:30 PM,4:13 PM,4:18 PM,5:50 PM,7:30 PM
"December 12, 2024","Jumada Al-Akhirah 11, 1446",6:21 AM,6:30 AM,7:57 AM,12:06 PM,12:45 PM,1:56 PM,2:30 PM,4:13 PM,4:18 PM,5:51 PM,7:30 PM
"December 13, 2024","Jumada Al-Akhirah 12, 1446",6:22 AM,6:30 AM,7:58 AM,12:06 PM,12:45 PM,1:56 PM,2:30 PM,4:13 PM,4:18 PM,5:51 PM,7:30 PM
"December 14, 2024","Jumada Al-Akhirah 13, 1446",6:22 AM,6:30 AM,7:59 AM,12:07 PM,12:45 PM,1:56 PM,2:30 PM,4:13 PM,4:18 PM,5:51 PM,7:30 PM
"December 15, 2024","Jumada Al-Akhirah 14, 1446",6:23 AM,6:30 AM,8:00 AM,12:07 PM,12:45 PM,1:56 PM,2:30 PM,4:13 PM,4:18 PM,5:51 PM,7:30 PM
"December 16, 2024","Jumada Al-Akhirah 15, 1446",6:24 AM,6:30 AM,8:00 AM,12:08 PM,12:45 PM,1:57 PM,2:30 PM,4:14 PM,4:19 PM,5:52 PM,7:30 PM
"December 17, 2024","Jumada Al-Akhirah 16, 1446",6:24 AM,6:30 AM,8:01 AM,12:08 PM,12:45 PM,1:57 PM,2:30 PM,4:14 PM,4:19 PM,5:52 PM,7:30 PM
"December 18, 2024","Jumada Al-Akhirah 17, 1446",6:25 AM,6:30 AM,8:02 AM,12:09 PM,12:45 PM,1:57 PM,2:30 PM,4:14 PM,4:19 PM,5:52 PM,7:30 PM
"December 19, 2024","Jumada Al-Akhirah 18, 1446",6:25 AM,6:30 AM,8:02 AM,12:09 PM,12:45 PM,1:58 PM,2:30 PM,4:15 PM,4:20 PM,5:53 PM,7:30 PM
"December 20, 2024","Jumada Al-Akhirah 19, 1446",6:26 AM,6:35 AM,8:03 AM,12:10 PM,12:45 PM,1:58 PM,2:30 PM,4:15 PM,4:20 PM,5:53 PM,7:30 PM
"December 21, 2024","Jumada Al-Akhirah 20, 1446",6:26 AM,6:35 AM,8:04 AM,12:10 PM,12:45 PM,1:59 PM,2:30 PM,4:16 PM,4:21 PM,5:54 PM,7:30 PM
"December 22, 2024","Jumada Al-Akhirah 21, 1446",6:27 AM,6:35 AM,8:04 AM,12:11 PM,12:45 PM,1:59 PM,2:30 PM,4:16 PM,4:21 PM,5:54 PM,7:30 PM
"December 23, 2024","Jumada Al-Akhirah 22, 1446",6:27 AM,6:35 AM,8:04 AM,12:11 PM,12:45 PM,2:00 PM,2:30 PM,4:17 PM,4:22 PM,5:55 PM,7:30 PM
"December 24, 2024","Jumada Al-Akhirah 23, 1446",6:28 AM,6:35 AM,8:05 AM,12:12 PM,12:45 PM,2:01 PM,2:30 PM,4:17 PM,4:22 PM,5:56 PM,7:30 PM
"December 25, 2024","Jumada Al-Akhirah 24, 1446",6:28 AM,6:35 AM,8:05 AM,12:12 PM,12:45 PM,2:01 PM,2:30 PM,4:18 PM,4:23 PM,5:56 PM,7:30 PM
"December 26, 2024","Jumada Al-Akhirah 25, 1446",6:28 AM,6:35 AM,8:05 AM,12:13 PM,12:45 PM,2:02 PM,2:30 PM,4:19 PM,4:24 PM,5:57 PM,7:30 PM
"December 27, 2024","Jumada Al-Akhirah 26, 1446",6:28 AM,6:35 AM,8:06 AM,12:13 PM,12:45 PM,2:03 PM,2:30 PM,4:20 PM,4:25 PM,5:58 PM,7:30 PM
"December 28, 2024","Jumada Al-Akhirah 27, 1446",6:29 AM,6:35 AM,8:06 AM,12:14 PM,12:45 PM,2:04 PM,2:30 PM,4:20 PM,4:25 PM,5:58 PM,7:30 PM
"December 29, 2024","Jumada Al-Akhirah 28, 1446",6:29 AM,6:35 AM,8:06 AM,12:14 PM,12:45 PM,2:04 PM,2:30 PM,4:21 PM,4:26 PM,5:59 PM,7:30 PM
"December 30, 2024","Jumada Al-Akhirah 29, 1446",6:29 AM,6:35 AM,8:06 AM,12:14 PM,12:45 PM,2:05 PM,2:30 PM,4:22 PM,4:27 PM,6:00 PM,7:30 PM
"December 31, 2024","Jumada Al-Akhirah 30, 1446",6:29 AM,6:35 AM,8:06 AM,12:15 PM,12:45 PM,2:06 PM,2:30 PM,4:23 PM,4:28 PM,6:01 PM,7:30 PM
"January 1, 2025","Rajab 1, 1446",6:29 AM,6:35 AM,8:06 AM,12:15 PM,12:45 PM,2:07 PM,2:30 PM,4:24 PM,4:29 PM,6:02 PM,7:30 PM
"January 2, 2025","Rajab 2, 1446",6:29 AM,6:35 AM,8:06 AM,12:16 PM,12:45 PM,2:08 PM,2:30 PM,4:25 PM,4:30 PM,6:03 PM,7:30 PM
"January 3, 2025","Rajab 3, 1446",6:29 AM,6:35 AM,8:06 AM,12:16 PM,12:45 PM,2:09 PM,2:30 PM,4:26 PM,4:31 PM,6:04 PM,7:30 PM
"January 4, 2025","Rajab 4, 1446",6:29 AM,6:35 AM,8:05 AM,12:17 PM,12:45 PM,2:10 PM,2:30 PM,4:27 PM,4:32 PM,6:05 PM,7:30 PM
"January 5, 2025","Rajab 5, 1446",6:29 AM,6:35 AM,8:05 AM,12:17 PM,12:45 PM,2:11 PM,2:30 PM,4:29 PM,4:34 PM,6:06 PM,7:30 PM
"January 6, 2025","Rajab 6, 1446",6:29 AM,6:35 AM,8:05 AM,12:18 PM,12:45 PM,2:12 PM,2:30 PM,4:30 PM,4:35 PM,6:07 PM,7:30 PM
"January 7, 2025","Rajab 7, 1446",6:28 AM,6:35 AM,8:04 AM,12:18 PM,12:45 PM,2:13 PM,2:30 PM,4:31 PM,4:36 PM,6:08 PM,7:30 PM
"January 8, 2025","Rajab 8, 1446",6:28 AM,6:35 AM,8:04 AM,12:19 PM,12:45 PM,2:14 PM,2:30 PM,4:32 PM,4:37 PM,6:09 PM,7:30 PM
"January 9, 2025","Rajab 9, 1446",6:28 AM,6:35 AM,8:04 AM,12:19 PM,12:45 PM,2:15 PM,2:30 PM,4:34 PM,4:39 PM,6:10 PM,7:30 PM
"January 10, 2025","Rajab 10, 1446",6:28 AM,6:35 AM,8:03 AM,12:19 PM,12:45 PM,2:16 PM,3:00 PM,4:35 PM,4:40 PM,6:11 PM,7:30 PM
"January 11, 2025","Rajab 11, 1446",6:27 AM,6:35 AM,8:03 AM,12:20 PM,12:45 PM,2:18 PM,3:00 PM,4:36 PM,4:41 PM,6:12 PM,7:30 PM
